suite,benchmark,dtype,threads,shape,backend,median_ms,iqr_ms,status
batched,batched_qr,f64,1,2x2xbatch64 (native batch layout),tenferro-trace,0.023000,0.000291,ok
batched,batched_eigh,f64,1,2x2xbatch64 (native batch layout),tenferro-trace,0.025458,0.000083,ok
batched,batched_solve,f64,1,"2x2xbatch64 (native batch layout),rhs=1",tenferro-trace,0.018583,0.000125,ok
batched,grad_sum_batched_matmul_backward,f64,1,2x2xbatch64 (native batch layout),tenferro-trace,0.007208,0.000042,ok
batched,grad_sum_batched_solve_backward,f64,1,"2x2xbatch64 (native batch layout),rhs=1",tenferro-trace,0.101833,0.001167,ok
batched,batched_matmul_ikb_kjb_ijb,f64,1,4x4xbatch64 (native batch layout),tenferro-trace,0.002041,0.000917,ok
batched,batched_svd,f64,1,4x4xbatch64 (native batch layout),tenferro-trace,0.113125,0.020626,ok
batched,batched_qr,f64,1,4x4xbatch64 (native batch layout),tenferro-trace,0.031208,0.000125,ok
batched,batched_eigh,f64,1,4x4xbatch64 (native batch layout),tenferro-trace,0.065917,0.002459,ok
batched,batched_solve,f64,1,"4x4xbatch64 (native batch layout),rhs=1",tenferro-trace,0.022291,0.000125,ok
batched,grad_sum_batched_matmul_backward,f64,1,4x4xbatch64 (native batch layout),tenferro-trace,0.011042,0.001250,ok
batched,grad_sum_batched_solve_backward,f64,1,"4x4xbatch64 (native batch layout),rhs=1",tenferro-trace,0.121167,0.001708,ok
small,matmul,f64,1,2x2,pytorch-cpu,0.008834,0.001084,ok
small,einsum_ij_jk_ik,f64,1,2x2,pytorch-cpu,0.012833,0.001333,ok
small,svd,f64,1,2x2,pytorch-cpu,0.011667,0.024666,ok
small,qr,f64,1,2x2,pytorch-cpu,0.006875,0.000418,ok
small,eigh,f64,1,2x2,pytorch-cpu,0.009375,0.000666,ok
small,solve,f64,1,"2x2,rhs=1",pytorch-cpu,0.015125,0.000667,ok
small,solve,f64,1,"2x2,rhs=4",pytorch-cpu,0.015375,0.000209,ok
small,grad_sum_matmul_backward,f64,1,2x2,pytorch-cpu,0.021750,0.003333,ok
small,grad_sum_svd_s_backward,f64,1,2x2,pytorch-cpu,0.020666,0.001167,ok
small,grad_sum_solve_backward,f64,1,"2x2,rhs=1",pytorch-cpu,0.030500,0.001459,ok
